index,smiles,oxidation_potential,reduction_potential
0,C1[C@H]([C@H]2COC(=O)O2)OC(=O)O1,,
1,C=COC(=O)OC(=O)OCC=O,,
2,C(=O)COC(=O)[C@H]1COC(=O)O1,,
3,C1[C@@H](C(=O)O1)O[C@@H]1COC(=O)O1,4.399799525314447,-6.424506616516228
4,C(=O)COC[C@H]1C(=O)OC(=O)O1,3.9073582941078344,-6.535298374943014
5,C=COC(=O)OOC(=O)OC=C,4.383881286625692,-6.461401929250715
6,C(=O)CO[C@H]1C(=O)COC(=O)O1,4.7211404239247345,
7,[CH]COC(=O)O[C@@H]1COC(=O)O1,,-6.258556147565687
8,C=CO[C@@]12[C@H](COO2)OC(=O)O1,3.964121539871994,
9,C1COC(=O)OC(=O)O[C@H]1C=O,,
10,C=C1COC(=O)OCOC(=O)O1,4.2574560986636785,-5.703016060842347
11,C(=O)CO[C@@]12[C@H](COO2)OC1=O,0.43437666681944354,
12,[CH]COC(=O)OC(=O)OCC=O,,
13,c1coc2c1oc(=O)o2,3.825907065597275,-5.5872612285288055
14,C#CC1OC(=O)C(=O)O1,3.556884233667515,-5.70464263057278
15,C#CC(=O)C(=O)C(=O)O,3.58362323710804,
16,C(#CC(=O)C(=O)O)C=O,4.6226426788294335,-5.106454023257757
17,C=COC(=O)O[C@@H]1COC(=O)O1,4.1490644728042385,-5.34215793734933
18,C([CH]OC(=O)O)O,3.5693152730878497,-6.8515491977991045
19,C1[C@](O)(O1)O[CH]O,,
20,[CH2]O[C@@]1(CO1)OO,3.269365552052986,-6.5927589704110146
21,C(COO)O[C]=O,,
22,C(COC(=O)O)[O],,
23,[CH2][C@H](O)OC(=O)O,3.813568012598407,-6.472310711487299
24,C(=O)CO[C](O)O,4.805925515457202,-5.562839965264575
25,[CH2]COC1(O)OO1,5.343120297704954,
26,[CH](COC(=O)O)O,,
27,[CH2]OC(=O)OCO,3.443913050338378,-3.798272343688441
28,[CH2]COC(=O)OO,,
29,C(COC(=O)[O])O,3.3387671476398824,-5.766013280591724
30,[CH2]COOC(=O)O,5.4092721959355545,
31,[CH2]OCOC(=O)O,,
32,CC(=O)OC=N,4.973162055412613,-4.418563697290156
33,C(#N)[C@@H](CO)O,5.052292203151009,-4.633781343572482
34,C1CN1C(=O)O,,-6.010013550384829
35,C(C=O)N=CO,,
36,CC(=O)C(=O)N,,-3.9640182451470904
37,C1COC(=N1)O,,
38,CNC(=O)C=O,,
39,C1[C@H](C(=O)O)N1,,
40,C(C=O)C(=N)O,,-2.6298786362726245
41,C1[C@H](C(=N)O)O1,,
42,C(C(=O)C=O)N,,
43,CC(=O)N=CO,3.915654525907084,-6.54474876686385
44,C/C(=N)/OC=O,,
45,C1[C@@H](C(=O)O1)N,3.9362660123265956,-6.539318528647928
